,Unnamed: 0,addressType,basementArea,caseUrl,energyLabel,housingArea,lotArea,monthlyExpense,numberOfFloors,numberOfRooms,perAreaPrice,priceCash,priceChangePercentage,yearBuilt,municipalityCode,numberOfBuildings,zipCode,municipality,latitude,longitude,basement,lot
7907,7907,villa,111.0,http://www.jespernielsen.dk/redirect.php?mgl=2394&sagsnr=JNL02580,e,116.0,709.0,5077,2.0,5.0,56697.0,8995000,0.0,1935.0,173,1,2800,Lyngby-Taarbæk,55.763924,12.494043,1,1
7908,7908,villa,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=EB-1233&shopno=270236&fromsite=boligsiden&csref=boligsiden,c,165.0,458.0,1513,2.0,4.0,8979.0,1495000,0.0,1882.0,766,1,8723,Hedensted,55.80467,9.647531,0,1
7909,7909,terraced house,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=22277&shopno=220075&fromsite=boligsiden&csref=boligsiden,b,92.0,0.0,1427,1.0,3.0,11902.0,1095000,0.0,1984.0,657,1,7400,Herning,56.127632,8.898949,0,0
7910,7910,farm,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=89599&shopno=230028&fromsite=boligsiden&csref=boligsiden,e,158.0,49045.0,1846,2.0,4.0,14850.0,2295000,0.0,1924.0,787,1,7700,Thisted,56.93602,8.644137,0,1
7911,7911,villa,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=2843&shopno=101506&fromsite=boligsiden&csref=boligsiden,c,159.0,879.0,1553,2.0,5.0,6780.0,1095000,0.0,1924.0,376,1,4891,Guldborgsund,54.772858,11.76636,0,1
7912,7912,condo,0.0,https://www.lokalbolig.dk/?sag=28-X0001225,c,126.0,0.0,5917,1.0,5.0,39643.0,4995000,0.0,1973.0,230,1,2840,Rudersdal,55.80177,12.465896,0,0
7913,7913,condo,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=0572&shopno=102147&fromsite=boligsiden&csref=boligsiden,c,100.0,0.0,2431,1.0,3.0,17950.0,1795000,0.0,1890.0,730,1,8900,Randers,56.461823,10.028209,0,0
7914,7914,condo,0.0,https://www.danbolig.dk?propertyid=4890000060&brokerid=489,d,76.0,0.0,3456,1.0,3.0,61776.0,4695000,0.0,1875.0,147,1,1966,Frederiksberg,55.683357,12.551284,0,0
7915,7915,holiday house,0.0,https://www.danbolig.dk?propertyid=4790000052&brokerid=479,,135.0,976.0,2791,1.0,5.0,35908.0,3598000,0.0,1850.0,563,1,6720,Fanø,55.353916,8.465597,0,1
7916,7916,villa,35.0,https://home.dk/sag/6220000984,f,108.0,713.0,1851,1.0,3.0,10433.0,1325000,0.0,1955.0,575,1,6600,Vejen,55.47745,9.141237,1,1
7917,7917,condo,0.0,https://www.edc.dk/sag/?sagsnr=46805344,c,94.0,0.0,3447,1.0,4.0,24415.0,2295000,0.0,1966.0,259,1,4600,Køge,55.447613,12.164293,0,0
7918,7918,condo,82.0,https://home.dk/sag/1160000437,c,98.0,0.0,4277,2.0,3.0,58163.0,5700000,0.0,1933.0,101,1,1400,København,55.673473,12.589755,1,0
7919,7919,condo,0.0,https://www.edc.dk/sag/?sagsnr=80005848,d,76.0,0.0,2226,3.0,3.0,44671.0,3395000,0.0,1893.0,751,1,8000,Aarhus,56.159508,10.201899,0,0
7920,7920,villa,102.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=7206922&shopno=104707&fromsite=boligsiden&csref=boligsiden,d,205.0,1119.0,2286,2.0,6.0,9998.0,2495000,0.0,1965.0,860,1,9850,Hjørring,57.583435,9.970941,1,1
7921,7921,villa,77.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=933613&shopno=105085&fromsite=boligsiden&csref=boligsiden,c,165.0,977.0,2497,1.0,4.0,14830.0,2995000,0.0,1936.0,813,1,9300,Frederikshavn,57.337055,10.5177965,1,1
